,0
344,"(46, 9)"
345,"(46, 10)"
346,"(45, 7)"
347,"(44, 7)"
348,"(43, 7)"
349,"(49, 5)"
350,"(49, 4)"
351,"(45, 8)"
352,"(44, 8)"
353,"(43, 9)"
354,"(43, 10)"
355,"(43, 8)"
356,"(42, 7)"
357,"(41, 7)"
358,"(40, 7)"
359,"(39, 6)"
360,"(39, 5)"
361,"(39, 4)"
362,"(39, 3)"
363,"(40, 2)"
364,"(39, 1)"
365,"(39, 0)"
366,"(39, 2)"
367,"(40, 5)"
368,"(40, 6)"
369,"(38, 5)"
370,"(37, 5)"
371,"(36, 6)"
372,"(36, 7)"
373,"(36, 8)"
374,"(36, 9)"
375,"(36, 10)"
376,"(37, 11)"
377,"(38, 11)"
378,"(39, 12)"
379,"(40, 12)"
380,"(41, 12)"
381,"(42, 12)"
382,"(43, 12)"
383,"(44, 12)"
384,"(45, 13)"
385,"(45, 14)"
386,"(46, 15)"
387,"(47, 15)"
388,"(48, 15)"
389,"(49, 15)"
390,"(50, 15)"
391,"(51, 14)"
392,"(51, 15)"
393,"(52, 16)"
394,"(53, 16)"
395,"(54, 16)"
396,"(55, 16)"
397,"(56, 16)"
398,"(57, 17)"
399,"(57, 18)"
400,"(56, 19)"
401,"(55, 19)"
402,"(54, 19)"
403,"(53, 19)"
404,"(57, 19)"
405,"(56, 20)"
406,"(55, 20)"
407,"(54, 20)"
408,"(53, 21)"
409,"(53, 22)"
410,"(54, 23)"
411,"(55, 23)"
412,"(56, 23)"
413,"(57, 24)"
414,"(57, 25)"
415,"(57, 26)"
416,"(57, 27)"
417,"(58, 28)"
418,"(59, 28)"
419,"(60, 29)"
420,"(61, 29)"
421,"(62, 29)"
422,"(63, 29)"
423,"(64, 29)"
424,"(65, 29)"
425,"(66, 29)"
426,"(67, 30)"
427,"(67, 31)"
428,"(67, 32)"
429,"(67, 33)"
430,"(68, 32)"
431,"(69, 32)"
432,"(70, 33)"
433,"(71, 33)"
434,"(72, 33)"
435,"(73, 33)"
436,"(74, 33)"
437,"(75, 33)"
438,"(70, 32)"
439,"(70, 31)"
440,"(70, 30)"
441,"(70, 29)"
442,"(69, 28)"
443,"(68, 28)"
444,"(67, 28)"
445,"(66, 28)"
446,"(65, 27)"
447,"(65, 26)"
448,"(65, 25)"
449,"(65, 24)"
450,"(65, 23)"
451,"(64, 22)"
452,"(63, 22)"
453,"(62, 22)"
454,"(61, 22)"
455,"(60, 23)"
456,"(60, 24)"
457,"(60, 25)"
458,"(60, 26)"
459,"(59, 27)"
460,"(58, 27)"
461,"(56, 27)"
462,"(55, 28)"
463,"(54, 29)"
464,"(53, 29)"
465,"(52, 29)"
466,"(51, 29)"
467,"(50, 29)"
468,"(49, 28)"
469,"(49, 27)"
470,"(49, 26)"
471,"(49, 25)"
472,"(48, 28)"
473,"(47, 28)"
474,"(46, 28)"
475,"(45, 29)"
476,"(44, 29)"
477,"(43, 29)"
478,"(43, 30)"
479,"(43, 31)"
480,"(43, 32)"
481,"(42, 32)"
482,"(41, 32)"
483,"(43, 33)"
484,"(42, 34)"
485,"(41, 34)"
486,"(40, 34)"
487,"(39, 34)"
488,"(38, 35)"
489,"(37, 35)"
490,"(36, 35)"
491,"(35, 35)"
492,"(34, 35)"
493,"(36, 34)"
494,"(37, 33)"
495,"(38, 33)"
496,"(39, 33)"
497,"(40, 33)"
498,"(41, 33)"
499,"(41, 35)"
500,"(40, 35)"
501,"(39, 35)"
502,"(37, 36)"
503,"(37, 37)"
504,"(37, 38)"
505,"(38, 37)"
506,"(36, 36)"
507,"(35, 37)"
508,"(35, 38)"
509,"(34, 37)"
510,"(33, 37)"
511,"(32, 37)"
512,"(31, 37)"
513,"(32, 36)"
514,"(32, 38)"
515,"(32, 39)"
516,"(31, 40)"
517,"(30, 40)"
518,"(29, 40)"
519,"(28, 40)"
520,"(27, 41)"
521,"(27, 42)"
522,"(27, 43)"
523,"(27, 44)"
524,"(28, 44)"
525,"(29, 44)"
526,"(30, 44)"
527,"(31, 43)"
528,"(30, 42)"
529,"(29, 42)"
530,"(28, 42)"
531,"(27, 40)"
532,"(28, 39)"
533,"(29, 39)"
534,"(30, 39)"
535,"(31, 39)"
536,"(32, 40)"
537,"(32, 41)"
538,"(32, 42)"
539,"(32, 43)"
540,"(31, 44)"
541,"(26, 45)"
542,"(26, 46)"
543,"(26, 47)"
544,"(27, 48)"
545,"(28, 48)"
546,"(29, 48)"
547,"(28, 47)"
548,"(28, 46)"
549,"(28, 49)"
550,"(28, 50)"
551,"(28, 51)"
552,"(29, 52)"
553,"(30, 51)"
554,"(30, 50)"
555,"(30, 49)"
556,"(26, 48)"
557,"(25, 48)"
558,"(24, 48)"
559,"(25, 49)"
560,"(26, 50)"
561,"(26, 51)"
562,"(26, 52)"
563,"(27, 49)"
564,"(29, 49)"
565,"(31, 49)"
566,"(29, 47)"
567,"(29, 46)"
568,"(29, 45)"
569,"(29, 50)"
570,"(32, 44)"
571,"(33, 44)"
572,"(34, 44)"
573,"(35, 44)"
574,"(35, 45)"
575,"(35, 46)"
576,"(35, 47)"
577,"(35, 48)"
578,"(36, 44)"
579,"(37, 44)"
580,"(38, 45)"
581,"(39, 46)"
582,"(40, 46)"
583,"(41, 45)"
584,"(41, 44)"
585,"(41, 43)"
586,"(42, 42)"
587,"(43, 43)"
588,"(44, 43)"
589,"(45, 44)"
590,"(45, 45)"
591,"(45, 46)"
592,"(46, 45)"
593,"(47, 45)"
594,"(48, 45)"
595,"(49, 44)"
596,"(49, 43)"
597,"(50, 42)"
598,"(51, 42)"
599,"(52, 42)"
600,"(53, 41)"
601,"(53, 40)"
602,"(53, 39)"
603,"(53, 38)"
604,"(54, 37)"
605,"(55, 37)"
606,"(56, 37)"
607,"(57, 37)"
608,"(58, 38)"
609,"(58, 39)"
610,"(58, 40)"
611,"(58, 41)"
612,"(58, 42)"
613,"(58, 43)"
614,"(59, 44)"
615,"(60, 44)"
616,"(61, 44)"
617,"(62, 44)"
618,"(63, 44)"
619,"(64, 44)"
620,"(65, 43)"
621,"(65, 44)"
622,"(65, 45)"
623,"(64, 46)"
624,"(63, 46)"
625,"(62, 46)"
626,"(61, 46)"
627,"(60, 46)"
628,"(59, 46)"
629,"(61, 45)"
630,"(66, 44)"
631,"(67, 44)"
632,"(68, 44)"
633,"(69, 44)"
634,"(70, 44)"
635,"(67, 43)"
636,"(67, 42)"
637,"(67, 41)"
638,"(67, 40)"
639,"(67, 39)"
640,"(68, 38)"
641,"(69, 38)"
642,"(70, 39)"
643,"(70, 40)"
644,"(70, 41)"
645,"(70, 42)"
646,"(69, 41)"
647,"(68, 41)"
648,"(66, 41)"
649,"(65, 40)"
650,"(65, 39)"
651,"(65, 38)"
652,"(65, 37)"
653,"(65, 36)"
654,"(65, 35)"
655,"(65, 34)"
656,"(65, 33)"
657,"(66, 34)"
658,"(67, 34)"
659,"(68, 34)"
660,"(69, 34)"
661,"(70, 34)"
662,"(71, 34)"
663,"(72, 32)"
664,"(72, 31)"
665,"(73, 30)"
666,"(74, 30)"
667,"(75, 30)"
668,"(74, 31)"
669,"(74, 32)"
670,"(70, 28)"
671,"(69, 27)"
672,"(68, 27)"
673,"(67, 27)"
674,"(66, 30)"
675,"(68, 30)"
676,"(69, 29)"
677,"(70, 26)"
678,"(70, 25)"
679,"(70, 24)"
680,"(70, 23)"
681,"(70, 22)"
682,"(70, 21)"
683,"(70, 20)"
684,"(71, 22)"
685,"(72, 22)"
686,"(73, 22)"
687,"(74, 22)"
688,"(75, 22)"
689,"(76, 22)"
690,"(77, 23)"
691,"(76, 24)"
692,"(75, 24)"
693,"(74, 24)"
694,"(73, 24)"
695,"(72, 24)"
696,"(71, 24)"
697,"(70, 19)"
698,"(69, 18)"
699,"(68, 18)"
700,"(67, 18)"
701,"(66, 18)"
702,"(65, 18)"
703,"(64, 18)"
704,"(63, 19)"
705,"(63, 20)"
706,"(63, 21)"
707,"(62, 20)"
708,"(61, 19)"
709,"(62, 18)"
710,"(63, 17)"
711,"(63, 16)"
712,"(63, 15)"
713,"(62, 14)"
714,"(61, 14)"
715,"(60, 14)"
716,"(59, 14)"
717,"(58, 14)"
718,"(57, 15)"
719,"(57, 16)"
720,"(58, 19)"
721,"(59, 19)"
722,"(60, 19)"
723,"(62, 19)"
724,"(57, 20)"
725,"(56, 15)"
726,"(55, 15)"
727,"(54, 14)"
728,"(54, 13)"
729,"(54, 12)"
730,"(54, 11)"
731,"(54, 10)"
732,"(55, 9)"
733,"(55, 8)"
734,"(55, 7)"
735,"(54, 6)"
736,"(53, 7)"
737,"(52, 7)"
738,"(54, 7)"
739,"(56, 7)"
740,"(57, 7)"
741,"(58, 7)"
742,"(59, 7)"
743,"(60, 7)"
744,"(61, 7)"
745,"(62, 8)"
746,"(62, 9)"
747,"(62, 10)"
748,"(62, 11)"
749,"(61, 12)"
750,"(60, 12)"
751,"(59, 12)"
752,"(58, 12)"
753,"(57, 12)"
754,"(56, 12)"
755,"(55, 12)"
756,"(55, 10)"
757,"(56, 10)"
758,"(57, 10)"
759,"(58, 10)"
760,"(59, 10)"
761,"(60, 10)"
762,"(61, 11)"
763,"(60, 13)"
764,"(59, 13)"
765,"(58, 13)"
766,"(57, 13)"
767,"(56, 11)"
768,"(52, 10)"
769,"(50, 7)"
770,"(50, 9)"
771,"(50, 10)"
772,"(50, 11)"
773,"(50, 12)"
774,"(50, 14)"
775,"(49, 12)"
776,"(49, 11)"
777,"(49, 10)"
778,"(50, 8)"
779,"(52, 8)"
780,"(53, 13)"
781,"(53, 14)"
782,"(48, 12)"
783,"(47, 12)"
784,"(51, 16)"
785,"(51, 17)"
786,"(52, 18)"
787,"(53, 18)"
788,"(54, 18)"
789,"(51, 18)"
790,"(50, 18)"
791,"(49, 19)"
792,"(49, 20)"
793,"(49, 21)"
794,"(49, 22)"
795,"(50, 23)"
796,"(49, 24)"
797,"(48, 24)"
798,"(48, 22)"
799,"(50, 22)"
800,"(51, 21)"
801,"(51, 20)"
802,"(51, 19)"
803,"(50, 16)"
804,"(49, 16)"
805,"(48, 16)"
806,"(47, 16)"
807,"(46, 16)"
808,"(45, 15)"
809,"(44, 13)"
810,"(43, 13)"
811,"(42, 13)"
812,"(41, 13)"
813,"(40, 13)"
814,"(39, 13)"
815,"(38, 12)"
816,"(38, 10)"
817,"(38, 9)"
818,"(38, 8)"
819,"(38, 7)"
820,"(38, 6)"
821,"(39, 7)"
822,"(39, 8)"
823,"(40, 9)"
824,"(41, 10)"
825,"(41, 11)"
826,"(39, 11)"
827,"(39, 10)"
828,"(39, 9)"
829,"(37, 6)"
830,"(35, 6)"
831,"(34, 6)"
832,"(33, 6)"
833,"(32, 7)"
834,"(32, 8)"
835,"(32, 9)"
836,"(32, 10)"
837,"(32, 11)"
838,"(33, 12)"
839,"(34, 12)"
840,"(35, 12)"
841,"(36, 12)"
842,"(37, 12)"
843,"(38, 13)"
844,"(38, 14)"
845,"(38, 15)"
846,"(38, 16)"
847,"(37, 17)"
848,"(36, 17)"
849,"(35, 17)"
850,"(34, 17)"
851,"(33, 17)"
852,"(32, 16)"
853,"(32, 15)"
854,"(32, 14)"
855,"(32, 13)"
856,"(31, 12)"
857,"(30, 12)"
858,"(29, 12)"
859,"(28, 13)"
860,"(28, 14)"
861,"(28, 15)"
862,"(28, 16)"
863,"(28, 17)"
864,"(28, 18)"
865,"(28, 19)"
866,"(29, 20)"
867,"(30, 20)"
868,"(28, 20)"
869,"(27, 20)"
870,"(26, 20)"
871,"(25, 21)"
872,"(25, 22)"
873,"(25, 23)"
874,"(25, 24)"
875,"(25, 25)"
876,"(25, 26)"
877,"(25, 27)"
878,"(26, 28)"
879,"(27, 28)"
880,"(28, 28)"
881,"(26, 27)"
882,"(24, 26)"
883,"(23, 26)"
884,"(22, 26)"
885,"(21, 26)"
886,"(20, 26)"
887,"(20, 27)"
888,"(20, 28)"
889,"(20, 29)"
890,"(19, 30)"
891,"(18, 30)"
892,"(17, 30)"
893,"(16, 30)"
894,"(15, 30)"
895,"(14, 30)"
896,"(13, 30)"
897,"(12, 29)"
898,"(12, 28)"
899,"(12, 27)"
900,"(12, 26)"
901,"(13, 25)"
902,"(14, 25)"
903,"(15, 25)"
904,"(16, 25)"
905,"(17, 25)"
906,"(18, 25)"
907,"(12, 25)"
908,"(12, 24)"
909,"(13, 23)"
910,"(14, 23)"
911,"(15, 23)"
912,"(16, 22)"
913,"(16, 21)"
914,"(15, 20)"
915,"(14, 20)"
916,"(13, 20)"
917,"(12, 20)"
918,"(11, 20)"
919,"(10, 20)"
920,"(9, 20)"
921,"(8, 21)"
922,"(8, 22)"
923,"(8, 23)"
924,"(8, 24)"
925,"(8, 25)"
926,"(8, 26)"
927,"(9, 27)"
928,"(10, 27)"
929,"(11, 27)"
930,"(12, 30)"
931,"(12, 31)"
932,"(11, 31)"
933,"(10, 31)"
934,"(9, 31)"
935,"(8, 30)"
936,"(8, 29)"
937,"(8, 28)"
938,"(8, 27)"
939,"(9, 22)"
940,"(10, 22)"
941,"(11, 22)"
942,"(12, 22)"
943,"(13, 22)"
944,"(14, 22)"
945,"(15, 21)"
946,"(15, 19)"
947,"(15, 18)"
948,"(16, 17)"
949,"(17, 17)"
950,"(18, 17)"
951,"(19, 16)"
952,"(20, 15)"
953,"(21, 15)"
954,"(22, 15)"
955,"(23, 15)"
956,"(24, 15)"
957,"(25, 14)"
958,"(26, 14)"
959,"(27, 14)"
960,"(29, 14)"
961,"(30, 14)"
962,"(31, 14)"
963,"(35, 9)"
964,"(34, 9)"
965,"(33, 9)"
966,"(31, 9)"
967,"(30, 9)"
968,"(36, 11)"
969,"(36, 13)"
970,"(37, 9)"
971,"(41, 9)"
972,"(42, 9)"
973,"(44, 9)"
974,"(37, 10)"
975,"(37, 13)"
976,"(37, 14)"
977,"(37, 15)"
978,"(39, 16)"
979,"(40, 16)"
980,"(41, 16)"
981,"(42, 16)"
982,"(43, 16)"
983,"(37, 16)"
984,"(36, 16)"
985,"(42, 15)"
986,"(42, 14)"
987,"(43, 17)"
988,"(44, 17)"
989,"(45, 17)"
990,"(46, 17)"
991,"(47, 17)"
992,"(42, 17)"
993,"(41, 17)"
994,"(40, 15)"
995,"(41, 18)"
996,"(41, 19)"
997,"(41, 20)"
998,"(41, 21)"
999,"(39, 15)"
1000,"(32, 12)"
1001,"(33, 14)"
1002,"(34, 14)"
1003,"(35, 14)"
1004,"(36, 14)"
1005,"(40, 14)"
1006,"(40, 17)"
1007,"(40, 18)"
1008,"(40, 19)"
1009,"(41, 22)"
1010,"(41, 23)"
1011,"(41, 24)"
1012,"(42, 25)"
1013,"(43, 25)"
1014,"(44, 25)"
1015,"(45, 26)"
1016,"(46, 27)"
1017,"(47, 27)"
1018,"(45, 28)"
1019,"(45, 30)"
1020,"(45, 31)"
1021,"(46, 32)"
1022,"(47, 32)"
1023,"(48, 32)"
1024,"(49, 32)"
1025,"(45, 32)"
1026,"(44, 31)"
1027,"(44, 30)"
1028,"(43, 28)"
1029,"(42, 28)"
1030,"(41, 28)"
1031,"(40, 29)"
1032,"(40, 30)"
1033,"(40, 31)"
1034,"(40, 32)"
1035,"(36, 33)"
1036,"(35, 33)"
1037,"(34, 34)"
1038,"(34, 36)"
1039,"(34, 38)"
1040,"(34, 39)"
1041,"(34, 40)"
1042,"(34, 41)"
1043,"(33, 42)"
1044,"(31, 42)"
1045,"(34, 42)"
1046,"(35, 42)"
1047,"(36, 42)"
1048,"(37, 42)"
1049,"(30, 43)"
1050,"(30, 45)"
1051,"(30, 46)"
1052,"(30, 47)"
1053,"(31, 48)"
1054,"(32, 48)"
1055,"(33, 48)"
1056,"(34, 48)"
1057,"(36, 48)"
1058,"(31, 47)"
1059,"(31, 46)"
1060,"(31, 45)"
1061,"(33, 33)"
1062,"(32, 33)"
1063,"(31, 34)"
1064,"(30, 34)"
1065,"(29, 34)"
1066,"(28, 34)"
1067,"(27, 34)"
1068,"(26, 34)"
1069,"(25, 34)"
1070,"(24, 33)"
1071,"(24, 32)"
1072,"(24, 31)"
1073,"(24, 30)"
1074,"(25, 29)"
1075,"(26, 29)"
1076,"(27, 29)"
1077,"(28, 29)"
1078,"(29, 30)"
1079,"(29, 31)"
1080,"(29, 32)"
1081,"(29, 33)"
1082,"(29, 35)"
1083,"(30, 36)"
1084,"(31, 36)"
1085,"(33, 38)"
1086,"(30, 37)"
1087,"(29, 37)"
1088,"(28, 37)"
1089,"(28, 36)"
1090,"(28, 35)"
1091,"(28, 33)"
1092,"(28, 32)"
1093,"(28, 31)"
1094,"(28, 30)"
1095,"(29, 29)"
1096,"(30, 29)"
1097,"(31, 29)"
1098,"(32, 29)"
1099,"(33, 29)"
1100,"(34, 29)"
1101,"(35, 29)"
1102,"(36, 28)"
1103,"(36, 27)"
1104,"(36, 29)"
1105,"(36, 30)"
1106,"(36, 31)"
1107,"(36, 32)"
1108,"(37, 34)"
1109,"(38, 34)"
1110,"(40, 36)"
1111,"(40, 37)"
1112,"(40, 38)"
1113,"(40, 39)"
1114,"(39, 31)"
1115,"(38, 31)"
1116,"(37, 31)"
1117,"(35, 31)"
1118,"(34, 31)"
1119,"(33, 31)"
1120,"(32, 31)"
1121,"(31, 32)"
1122,"(31, 33)"
1123,"(31, 35)"
1124,"(31, 38)"
1125,"(27, 39)"
1126,"(26, 39)"
1127,"(25, 39)"
1128,"(24, 39)"
1129,"(23, 39)"
1130,"(22, 38)"
1131,"(22, 37)"
1132,"(22, 36)"
1133,"(22, 35)"
1134,"(22, 34)"
1135,"(22, 33)"
1136,"(22, 32)"
1137,"(23, 31)"
1138,"(25, 31)"
1139,"(26, 31)"
1140,"(27, 30)"
1141,"(27, 27)"
1142,"(27, 26)"
1143,"(27, 25)"
1144,"(27, 24)"
1145,"(27, 23)"
1146,"(25, 28)"
1147,"(24, 28)"
1148,"(23, 29)"
1149,"(23, 30)"
1150,"(23, 32)"
1151,"(21, 33)"
1152,"(20, 33)"
1153,"(23, 33)"
1154,"(25, 35)"
1155,"(25, 36)"
1156,"(25, 37)"
1157,"(25, 38)"
1158,"(30, 38)"
1159,"(30, 35)"
1160,"(30, 33)"
1161,"(30, 32)"
1162,"(31, 31)"
1163,"(39, 30)"
1164,"(39, 29)"
1165,"(39, 28)"
1166,"(39, 27)"
1167,"(38, 26)"
1168,"(37, 26)"
1169,"(36, 26)"
1170,"(39, 26)"
1171,"(40, 26)"
1172,"(41, 27)"
1173,"(41, 29)"
1174,"(41, 30)"
1175,"(34, 30)"
1176,"(34, 28)"
1177,"(34, 32)"
1178,"(34, 33)"
1179,"(29, 36)"
1180,"(28, 38)"
1181,"(27, 38)"
1182,"(26, 38)"
1183,"(24, 38)"
1184,"(23, 38)"
1185,"(21, 38)"
1186,"(20, 39)"
1187,"(19, 39)"
1188,"(18, 39)"
1189,"(17, 39)"
1190,"(16, 39)"
1191,"(15, 40)"
1192,"(15, 41)"
1193,"(15, 42)"
1194,"(15, 43)"
1195,"(15, 44)"
1196,"(15, 45)"
1197,"(16, 46)"
1198,"(17, 46)"
1199,"(18, 46)"
1200,"(19, 46)"
1201,"(20, 46)"
1202,"(21, 46)"
1203,"(22, 45)"
1204,"(22, 44)"
1205,"(22, 43)"
1206,"(22, 42)"
1207,"(22, 41)"
1208,"(22, 40)"
1209,"(23, 43)"
1210,"(24, 43)"
1211,"(25, 43)"
1212,"(26, 43)"
1213,"(28, 43)"
1214,"(29, 43)"
1215,"(38, 42)"
1216,"(37, 43)"
1217,"(36, 43)"
1218,"(35, 43)"
1219,"(34, 43)"
1220,"(33, 43)"
1221,"(32, 45)"
1222,"(32, 46)"
1223,"(32, 47)"
1224,"(32, 49)"
1225,"(32, 50)"
1226,"(32, 51)"
1227,"(33, 50)"
1228,"(34, 50)"
1229,"(35, 50)"
1230,"(36, 50)"
1231,"(37, 50)"
1232,"(38, 50)"
1233,"(39, 50)"
1234,"(40, 49)"
1235,"(40, 48)"
1236,"(41, 47)"
1237,"(41, 46)"
1238,"(41, 42)"
1239,"(41, 41)"
1240,"(41, 40)"
1241,"(42, 39)"
1242,"(43, 39)"
1243,"(44, 39)"
1244,"(45, 39)"
1245,"(46, 39)"
1246,"(47, 39)"
